18763503X,Ecclesiastical Law Journal
167545663,Pfarramtsblatt,Pfarramtsblatt : Mitteilungen aus Amtsblättern für den katholischen Klerus Bayerns
63476070X,Philippine Canonical Forum,Philippine canonical forum
170747794,Quaderni dello Studio Rotale,Studio rotale : quaderni
516205404,Quaderni dello Studio Rotale,Quaderni dello Studio Rotale
528298690,Religionsrechtliche Studien,Religionsrechtliche Studien
167405500,Unsere Seelsorge,Unsere Seelsorge : das Themenheft der Hauptabteilung Seelsorge im Bischöflichen Generalvikariat Münster für hauptamtliche Seelsorgerinnen und Seelsorger
1120873096,Tesi Gregoriana. Serie Diritto Canonico,Tesi gregoriana. Diritto canonico
537401350,Tübinger Kirchenrechtliche Studien,Tübinger kirchenrechtliche Studien. Kleine wissenschaftliche Reihe
51916993X,Tübinger Kirchenrechtliche Studien,Tübinger kirchenrechtliche Studien : TKS
1083302485,Utrumque Ius,Utrumque ius : collectio Pontificiae Universitatis Lateranensis
169549674,Studi Giuridici,Studi giuridici
615131506,Studies in Church Law
166749737,PraKan
523859465,Annuario DiReCom
646414909,Institutiones Iuris Ecclesiae
571166830,Revista Brasileira de Direito Canônico
18763503X,The Ecclesiastical Law Journal
721581870,Veritas et Jus
168143925,Les Cahiers Du Droit Ecclesial
165980540,Canon Law Society of Great Britain & Ireland. Newsletter
101868368,KNA.ADV.Ausland.EU
101868369,KNA.AD-Ausland
101868370,KNA.H
101868371,KNA.K
101868372,KNA.AD-Interview
101868373,KNA.D
101868374,KNA.Nordwest
101868375,KNA-Nordwest
101868376,KNA.Nordwest.K
101868377,KNA-Südwest-Porträt
101868378,KNA-Südwest-Interview
101868379,KNA-Südwest
101868380,KNA.I
101868381,KNA.S
101868382,KNA.P
